,x,y,pval,cil,ciu,point
2,1,A10,0.1384,-0.006946199,0.024093824,0.008573813
3,1,N02A,0,0.303857182,0.459015974,0.381436578
4,1,N06A,0.1265,-0.026431718,0.004958416,-0.010736651
